time_ms,cpu_usage,active_workers
10,10,1
20,10,1
30,20,2
41,20,2
51,30,3
61,30,3
71,40,4
81,40,4
91,50,5
101,60,6
111,60,6
122,95,7
132,95,7
142,95,7
152,95,7
162,95,7
172,95,7
182,95,7
193,95,7
203,85,6
213,85,6
223,75,5
233,75,5
243,100,5
253,100,5
263,90,4
274,90,4
284,80,3
294,80,3
304,70,2
314,70,2
324,100,5
334,100,5
344,100,5
354,100,5
365,100,5
375,100,5
385,100,5
395,100,5
405,100,5
415,100,5
425,100,5
436,100,5
446,100,5
456,100,5
466,100,5
476,100,5
486,100,5
496,100,5
506,100,5
517,100,5
527,95,7
537,95,7
547,95,7
557,95,7
567,95,7
577,95,7
587,95,7
598,95,7
608,95,7
618,95,7
628,95,7
638,95,7
648,80,8
658,80,8
668,80,8
679,80,8
689,80,8
699,80,8
709,80,8
719,80,8
729,100,5
739,100,5
750,100,5
760,100,5
770,100,5
780,100,5
790,100,5
800,100,5
810,100,5
821,100,5
831,100,5
841,100,5
851,100,5
861,100,5
871,100,5
881,100,5
891,100,5
902,100,5
912,100,5
922,100,5
932,70,7
942,70,7
952,70,7
964,70,7
980,70,7
991,70,7
1001,70,7
1015,70,7
1028,70,7
1038,70,7
1048,95,7
1059,95,7
1069,95,7
1080,95,7
1090,95,7
1100,95,7
1110,95,7
1120,95,7
1130,90,4
1140,90,4
1150,90,4
1161,90,4
1171,90,4
1181,90,4
1191,90,4
1202,90,4
1212,90,4
1222,90,4
1232,90,4
1242,100,5
1252,100,5
1262,100,5
1272,100,5
1283,100,5
1293,100,5
1303,100,5
1313,100,5
1323,75,5
1333,75,5
1343,75,5
1353,75,5
1364,75,5
1374,75,5
1384,75,5
1394,75,5
1404,75,5
1414,75,5
1424,75,5
1434,75,5
1444,95,7
1455,95,7
1465,95,7
1475,95,7
1485,95,7
1495,95,7
1505,95,7
1515,95,7
1526,95,7
1536,95,7
1546,95,7
1556,95,7
1566,95,7
1576,95,7
1586,95,7
1596,95,7
1607,95,7
1617,95,7
1627,95,7
1637,95,7
1647,85,6
1657,85,6
1667,85,6
1677,85,6
1687,85,6
1698,85,6
1708,85,6
1718,85,6
1728,100,5
1738,100,5
1748,100,5
1758,100,5
1768,100,5
1779,100,5
1789,100,5
1799,100,5
1809,100,5
1819,100,5
1829,100,5
1839,100,5
1850,90,4
1860,90,4
1870,90,4
1880,90,4
1890,90,4
1900,90,4
1910,90,4
1920,90,4
1930,100,5
1941,100,5
1951,100,5
1961,100,5
1971,100,5
1981,100,5
1991,100,5
2001,100,5
2012,100,5
2022,100,5
2032,100,5
2042,100,5
2052,100,5
2062,100,5
2072,100,5
2083,100,5
2093,100,5
2103,100,5
2113,100,5
2123,75,5
2133,75,5
2143,75,5
2153,75,5
2164,75,5
2174,75,5
2184,75,5
2194,75,5
2204,75,5
2214,75,5
2224,75,5
2234,75,5
2244,75,5
2255,75,5
2265,75,5
2275,75,5
2285,75,5
2295,75,5
2305,75,5
2315,75,5
2325,100,5
2336,100,5
2346,100,5
2356,100,5
2366,100,5
2376,100,5
2386,100,5
2396,100,5
2406,100,5
2417,100,5
2427,100,5
2437,100,5
2447,90,4
2457,90,4
2467,90,4
2477,90,4
2487,90,4
2498,90,4
2508,90,4
2518,90,4
2528,80,3
2538,80,3
2548,80,3
2558,80,3
2568,80,3
2579,80,3
2589,80,3
2599,80,3
2609,80,3
2619,80,3
2629,80,3
2639,80,3
2649,70,2
2660,70,2
2670,70,2
2680,70,2
2690,70,2
2700,70,2
2710,70,2
2720,70,2
2730,70,2
2741,70,2
2751,70,2
2761,70,2
2771,70,2
2781,70,2
2792,70,2
2802,70,2
2812,70,2
2822,70,2
2832,70,2
2842,70,2
2852,70,2
2863,70,2
2873,70,2
2883,70,2
2893,70,2
2903,70,2
2913,70,2
2923,70,2
2933,70,2
2943,70,2
2954,70,2
2964,70,2
2974,70,2
2984,70,2
2994,70,2
3004,70,2
3014,70,2
3024,70,2
3035,70,2
3045,100,5
3055,100,5
3065,100,5
3078,100,5
3088,100,5
3099,100,5
3109,100,5
3121,100,5
3132,75,5
3142,75,5
3152,75,5
3162,75,5
3172,75,5
3182,75,5
3192,75,5
3202,75,5
3213,75,5
3223,75,5
3233,75,5
3243,100,5
3253,100,5
3263,100,5
3273,100,5
3283,100,5
3294,100,5
3304,100,5
3314,100,5
3324,90,4
3334,90,4
3344,90,4
3354,90,4
3364,90,4
3375,90,4
3385,90,4
3395,90,4
3405,90,4
3415,90,4
3425,90,4
3435,90,4
3445,100,5
3456,100,5
3466,100,5
3476,100,5
3486,100,5
3496,100,5
3506,100,5
3516,100,5
3526,100,5
3537,100,5
3547,100,5
3557,100,5
3567,100,5
3577,100,5
3587,100,5
3597,100,5
3608,100,5
3618,100,5
3628,100,5
3639,100,5
3649,80,3
3659,80,3
3669,80,3
3679,80,3
3689,80,3
3699,80,3
3709,80,3
3720,80,3
3730,80,3
3740,80,3
3750,80,3
3760,80,3
3770,80,3
3780,80,3
3790,80,3
3800,80,3
3811,80,3
3821,80,3
3831,80,3
3841,80,3
3851,80,3
3861,80,3
3871,80,3
3881,80,3
3892,80,3
3902,80,3
3912,80,3
3922,80,3
3932,80,3
3942,80,3
3952,80,3
3962,80,3
3973,80,3
3983,80,3
3993,80,3
4003,80,3
4013,80,3
4023,80,3
4033,80,3
4043,95,7
4054,95,7
4064,95,7
4074,95,7
4084,95,7
4094,95,7
4104,95,7
4114,95,7
4124,95,7
4135,95,7
4145,95,7
4155,95,7
4165,95,7
4175,95,7
4185,95,7
4195,95,7
4205,95,7
4216,95,7
4226,95,7
4236,95,7
4246,100,5
4256,100,5
4266,100,5
4276,100,5
4286,100,5
4296,100,5
4307,100,5
4317,100,5
4327,100,5
4337,100,5
4347,100,5
4357,100,5
4367,100,5
4377,100,5
4388,100,5
4398,100,5
4408,100,5
4418,100,5
4428,100,5
4438,100,5
4448,80,8
4458,80,8
4469,80,8
4479,80,8
4489,80,8
4499,80,8
4509,80,8
4519,80,8
4530,80,8
4540,80,8
4550,80,8
4560,80,8
4570,80,8
4580,80,8
4590,80,8
4601,80,8
4611,80,8
4621,80,8
4631,80,8
4641,80,8
4651,95,7
4661,95,7
4672,95,7
4682,95,7
4692,95,7
4702,95,7
4712,95,7
4722,95,7
4732,95,7
4742,95,7
4753,95,7
4763,95,7
4773,95,7
4783,95,7
4793,95,7
4803,95,7
4813,95,7
4823,95,7
4833,95,7
4844,95,7
4854,95,7
4864,95,7
4874,95,7
4884,95,7
4894,95,7
4904,95,7
4914,95,7
4925,95,7
4935,95,7
4945,95,7
4955,95,7
4965,95,7
4975,95,7
4985,95,7
4996,95,7
5006,95,7
5016,95,7
5026,95,7
5036,95,7
5046,100,5
5056,100,5
5066,100,5
5077,100,5
5087,100,5
5097,100,5
5107,100,5
5117,100,5
5130,100,5
5140,100,5
5150,100,5
5160,100,5
5171,100,5
5181,100,5
5191,100,5
5201,100,5
5211,100,5
5221,100,5
5231,100,5
5241,100,5
5252,100,5
5262,100,5
5272,100,5
5282,100,5
5292,100,5
5302,100,5
5312,100,5
5322,100,5
5333,100,5
5343,100,5
5353,100,5
5363,100,5
5373,100,5
5383,100,5
5393,100,5
