time_ms,cpu_usage,active_workers
10,10,1
20,10,1
30,45,2
40,45,2
50,80,3
61,80,3
71,80,3
81,80,3
91,80,3
101,80,3
111,80,3
121,80,3
132,80,3
142,80,3
152,80,3
162,80,3
172,80,3
182,80,3
192,80,3
202,70,2
213,70,2
223,90,4
233,90,4
244,90,4
254,90,4
264,90,4
274,90,4
284,90,4
294,90,4
304,90,4
315,90,4
325,90,4
335,90,4
345,90,4
355,90,4
365,90,4
375,90,4
385,90,4
396,90,4
406,90,4
416,90,4
426,70,2
436,70,2
446,70,2
456,70,2
466,70,2
476,70,2
487,70,2
497,70,2
507,70,2
517,70,2
527,70,2
537,70,2
547,70,2
557,70,2
568,70,2
578,70,2
588,70,2
598,70,2
608,70,2
618,70,2
628,70,2
638,70,2
649,70,2
659,70,2
669,70,2
679,70,2
689,70,2
699,70,2
710,70,2
720,70,2
730,70,2
740,70,2
750,70,2
760,70,2
770,70,2
780,70,2
791,70,2
801,70,2
811,70,2
821,70,2
831,70,2
841,70,2
851,70,2
861,70,2
872,70,2
882,70,2
892,70,2
902,70,2
912,70,2
922,70,2
932,70,2
942,70,2
953,70,2
963,70,2
973,70,2
983,70,2
993,70,2
1004,70,2
1015,70,2
1025,70,2
1035,70,2
1046,70,2
1056,70,2
1066,70,2
1076,70,2
1087,70,2
1097,70,2
1107,70,2
1117,70,2
1127,70,2
1137,70,2
1147,70,2
1157,70,2
1168,70,2
1178,70,2
1188,70,2
1198,70,2
1208,70,2
1218,70,2
1228,70,2
1239,70,2
1249,70,2
1262,70,2
1279,70,2
1289,70,2
1299,70,2
1309,70,2
1320,70,2
1330,70,2
1340,70,2
1350,70,2
1360,70,2
1370,70,2
1380,70,2
1391,70,2
1401,70,2
1411,70,2
1421,70,2
1431,70,2
1441,70,2
1451,90,4
1462,90,4
1472,90,4
1482,90,4
1492,90,4
1502,90,4
1512,90,4
1522,90,4
1533,90,4
1543,90,4
1553,90,4
1563,90,4
1573,90,4
1583,90,4
1593,90,4
1603,90,4
1614,90,4
1624,100,5
1634,100,5
1644,90,4
1655,90,4
1665,90,4
1675,90,4
1685,90,4
1695,90,4
1705,90,4
1716,90,4
1726,90,4
1736,90,4
1746,90,4
1756,90,4
1766,90,4
1776,90,4
1787,90,4
1797,90,4
1807,90,4
1817,90,4
1827,80,3
1837,80,3
1847,90,4
1857,90,4
1868,90,4
1878,90,4
1888,90,4
1898,90,4
1908,90,4
1918,90,4
1928,90,4
1938,90,4
1949,90,4
1959,90,4
1969,90,4
1979,90,4
1989,90,4
1999,90,4
2009,90,4
2019,90,4
2030,90,4
2040,90,4
2050,70,2
2060,70,2
2070,70,2
2080,70,2
2091,70,2
2101,70,2
2111,70,2
2121,70,2
2131,70,2
2141,70,2
2151,70,2
2161,70,2
2172,70,2
2182,70,2
2192,70,2
2202,70,2
2212,70,2
2222,70,2
2232,70,2
2242,70,2
2252,70,2
2263,70,2
2273,70,2
2283,70,2
2293,70,2
2303,70,2
2313,70,2
2323,70,2
2333,70,2
2344,70,2
2354,70,2
2364,70,2
2374,70,2
2384,70,2
2394,70,2
2404,70,2
2414,70,2
2425,70,2
2435,70,2
2445,70,2
2455,70,2
2465,70,2
2475,70,2
2485,70,2
2495,70,2
2506,70,2
2516,70,2
2526,70,2
2536,70,2
2546,70,2
2556,70,2
2566,70,2
2576,70,2
2587,70,2
2597,70,2
2607,70,2
2617,70,2
2627,70,2
2637,70,2
2647,70,2
2657,70,2
2668,70,2
2678,70,2
2688,70,2
2698,70,2
2708,70,2
2718,70,2
2728,70,2
2738,70,2
2748,70,2
2759,70,2
2769,70,2
2779,70,2
2789,70,2
2799,70,2
2809,70,2
2819,70,2
2829,70,2
2840,70,2
2850,80,3
2860,80,3
2870,80,3
2880,80,3
2890,80,3
2900,80,3
2910,80,3
2921,80,3
2931,80,3
2941,80,3
2951,80,3
2961,80,3
2971,80,3
2981,80,3
2992,80,3
3002,80,3
3012,80,3
3022,80,3
3032,80,3
3042,80,3
3052,80,3
3062,80,3
3072,80,3
3083,80,3
3093,80,3
3103,80,3
3113,80,3
3123,80,3
3133,80,3
3144,80,3
3154,80,3
3164,80,3
3174,80,3
3185,80,3
3195,80,3
3205,80,3
3215,80,3
3225,90,4
3236,90,4
3246,80,3
3256,80,3
3266,80,3
3277,80,3
3287,80,3
3297,80,3
3307,80,3
3318,80,3
3328,80,3
3338,80,3
3348,80,3
3359,80,3
3369,80,3
3379,80,3
3389,80,3
3399,80,3
3409,80,3
3419,80,3
3429,70,2
3440,70,2
3450,70,2
3460,70,2
3470,70,2
3480,70,2
3490,70,2
3500,70,2
3511,70,2
3521,70,2
3531,70,2
3541,70,2
3551,70,2
3561,70,2
3571,70,2
3581,70,2
3592,70,2
3602,70,2
3612,70,2
3622,70,2
3632,80,3
3642,80,3
3652,80,3
3663,80,3
3673,80,3
3683,80,3
3693,80,3
3703,80,3
3713,80,3
3723,80,3
3734,80,3
3744,80,3
3754,80,3
3764,80,3
3774,80,3
3784,80,3
3794,80,3
3804,80,3
3815,80,3
3825,70,2
3835,70,2
3845,70,2
3855,70,2
3865,70,2
3875,70,2
3885,70,2
3896,70,2
3906,70,2
3916,70,2
3926,70,2
3936,70,2
3946,70,2
3956,70,2
3966,70,2
3977,70,2
3987,70,2
3997,70,2
4007,70,2
4017,70,2
4027,80,3
4037,80,3
4048,80,3
4058,80,3
4068,80,3
4078,80,3
4088,80,3
4098,80,3
4108,80,3
4118,80,3
4129,80,3
4139,80,3
4149,80,3
4159,80,3
4169,80,3
4179,80,3
4189,80,3
4199,80,3
4210,80,3
4220,80,3
4230,70,2
4240,70,2
4250,70,2
4260,70,2
4270,70,2
4280,70,2
4291,70,2
4301,70,2
4311,70,2
4321,70,2
4331,70,2
4341,70,2
4351,70,2
4361,70,2
4372,70,2
4382,70,2
4392,70,2
4402,70,2
4412,70,2
4422,70,2
4432,80,3
4442,80,3
4453,80,3
4463,80,3
4473,80,3
4483,80,3
4493,80,3
4503,80,3
4513,80,3
4524,80,3
4534,80,3
4544,80,3
4554,80,3
4564,80,3
4574,80,3
4584,80,3
4594,80,3
4605,80,3
4615,80,3
4625,70,2
4635,70,2
4645,80,3
4655,80,3
4665,80,3
4675,80,3
4686,80,3
4696,80,3
4706,80,3
4716,80,3
4726,80,3
4736,80,3
4746,80,3
4757,80,3
4767,80,3
4777,80,3
4787,80,3
4797,80,3
4807,80,3
4817,80,3
4827,80,3
4838,80,3
4848,70,2
4858,70,2
4868,70,2
4878,70,2
4888,70,2
4898,70,2
4908,70,2
4919,70,2
4929,70,2
4939,70,2
4949,70,2
4959,70,2
4969,70,2
4979,70,2
4990,70,2
5000,70,2
5010,70,2
5020,70,2
5030,70,2
5040,70,2
5050,70,2
5060,70,2
5071,70,2
5081,70,2
5091,70,2
5101,70,2
5111,70,2
5121,70,2
5131,70,2
5141,70,2
5152,70,2
5162,70,2
5172,70,2
5182,70,2
5192,70,2
5202,70,2
5212,70,2
5222,70,2
5233,70,2
5243,70,2
5253,70,2
5263,70,2
5274,70,2
5284,70,2
5294,70,2
5304,70,2
5314,70,2
5325,70,2
5335,70,2
5345,70,2
5356,70,2
5366,70,2
5376,70,2
5387,70,2
