time_ms,cpu_usage,active_workers
11,10,1
21,10,1
31,45,2
41,45,2
51,55,3
61,55,3
72,90,4
82,90,4
92,100,5
102,100,5
112,100,5
122,100,5
132,100,5
142,100,5
153,100,5
163,100,5
173,100,5
183,100,5
193,100,5
203,100,5
213,100,5
223,75,5
233,75,5
244,100,5
254,100,5
264,95,7
274,95,7
284,85,6
294,85,6
304,85,6
314,85,6
324,85,6
335,85,6
345,85,6
355,85,6
365,85,6
375,85,6
385,85,6
395,85,6
405,75,5
416,75,5
426,100,5
436,100,5
446,95,7
456,95,7
466,85,6
476,85,6
487,85,6
497,85,6
507,85,6
517,85,6
527,85,6
539,85,6
550,85,6
560,85,6
571,85,6
582,85,6
592,85,6
602,85,6
612,85,6
622,85,6
632,85,6
642,100,5
653,100,5
663,80,3
673,80,3
683,80,3
693,80,3
703,80,3
713,80,3
724,80,3
734,80,3
744,80,3
754,80,3
764,80,3
774,80,3
784,80,3
794,80,3
805,80,3
815,80,3
825,100,5
835,100,5
845,85,6
855,85,6
865,85,6
875,85,6
886,85,6
896,85,6
906,85,6
916,85,6
926,85,6
936,85,6
946,85,6
956,85,6
967,85,6
977,85,6
987,85,6
997,85,6
1007,85,6
1017,85,6
1027,100,5
1037,100,5
1048,100,5
1058,100,5
1068,100,5
1078,100,5
1088,100,5
1098,100,5
1108,100,5
1118,100,5
1129,100,5
1139,100,5
1149,100,5
1159,100,5
1170,100,5
1181,100,5
1191,100,5
1201,100,5
1212,100,5
1222,100,5
1232,95,7
1243,75,5
1253,75,5
1263,75,5
1273,75,5
1283,75,5
1293,75,5
1303,75,5
1313,75,5
1324,75,5
1334,75,5
1344,75,5
1354,75,5
1364,75,5
1374,75,5
1384,75,5
1395,75,5
1405,75,5
1415,75,5
1427,85,6
1437,85,6
1447,75,5
1457,75,5
1467,75,5
1477,75,5
1488,75,5
1498,75,5
1508,75,5
1518,75,5
1528,75,5
1538,75,5
1548,75,5
1558,75,5
1569,75,5
1579,75,5
1589,75,5
1599,75,5
1609,75,5
1619,75,5
1629,95,7
1639,95,7
1650,95,7
1660,95,7
1670,95,7
1680,95,7
1690,95,7
1700,95,7
1710,95,7
1721,95,7
1731,95,7
1741,95,7
1751,95,7
1761,95,7
1771,95,7
1781,95,7
1791,95,7
1802,95,7
1812,95,7
1822,95,7
1832,100,5
1842,100,5
1852,100,5
1862,100,5
1873,100,5
