time_ms,cpu_usage,active_workers
10,35,1
20,35,1
30,70,2
40,80,3
51,80,3
61,90,4
71,90,4
81,90,4
91,90,4
101,90,4
111,90,4
121,90,4
132,90,4
142,100,5
152,100,5
162,100,5
172,100,5
182,100,5
192,100,5
203,100,5
213,100,5
223,100,5
233,100,5
243,100,5
253,100,5
263,100,5
273,100,5
284,100,5
294,100,5
304,100,5
314,100,5
324,100,5
334,100,5
344,100,5
354,100,5
365,100,5
375,100,5
385,100,5
395,100,5
405,100,5
415,100,5
425,100,5
435,100,5
445,100,5
456,100,5
466,100,5
476,100,5
486,100,5
496,100,5
506,100,5
516,100,5
526,100,5
537,100,5
547,100,5
557,100,5
567,100,5
577,100,5
587,100,5
597,100,5
607,100,5
618,100,5
628,100,5
638,100,5
648,100,5
658,100,5
668,100,5
678,100,5
688,100,5
699,100,5
709,100,5
721,100,5
732,100,5
742,100,5
752,100,5
762,100,5
773,100,5
783,100,5
793,100,5
803,100,5
813,100,5
823,100,5
833,100,5
843,100,5
854,100,5
864,100,5
874,100,5
884,100,5
894,100,5
904,100,5
915,100,5
925,100,5
935,100,5
945,100,5
955,100,5
965,100,5
975,100,5
985,100,5
996,100,5
1006,100,5
1016,100,5
1026,100,5
1036,100,5
1046,100,5
1056,100,5
1066,100,5
1077,100,5
1087,100,5
1097,100,5
1107,100,5
1117,100,5
1127,100,5
1137,100,5
1148,100,5
1158,100,5
1168,100,5
1178,100,5
1188,100,5
1198,100,5
1208,100,5
1218,100,5
1229,100,5
1239,100,5
1249,100,5
1259,100,5
1269,100,5
1279,100,5
1289,100,5
1299,100,5
1309,100,5
1320,100,5
1330,100,5
1340,100,5
1350,100,5
1360,100,5
1370,100,5
1381,100,5
1391,100,5
1401,100,5
1411,100,5
1421,100,5
1432,100,5
1442,100,5
1452,100,5
1462,100,5
1472,100,5
1482,100,5
1492,100,5
1502,100,5
1513,100,5
1523,100,5
1533,100,5
1543,100,5
1553,100,5
1563,100,5
1573,100,5
1583,100,5
1593,100,5
1604,100,5
1614,100,5
1624,100,5
1634,100,5
1644,100,5
1654,100,5
1664,100,5
1674,100,5
1685,100,5
1695,100,5
1705,100,5
1715,100,5
1725,100,5
1735,100,5
1745,100,5
1755,100,5
1766,100,5
1776,100,5
1786,100,5
1796,100,5
1806,100,5
1816,100,5
1826,100,5
1836,100,5
1847,100,5
1857,100,5
1867,100,5
1877,100,5
1887,100,5
1897,100,5
1907,100,5
1917,100,5
1928,100,5
1938,100,5
1948,100,5
1958,100,5
1968,100,5
1978,100,5
1988,100,5
1998,100,5
2009,100,5
2019,100,5
2029,100,5
2039,100,5
2049,100,5
2059,100,5
2069,100,5
2079,100,5
2090,100,5
2100,100,5
2110,100,5
2120,100,5
2130,100,5
2140,100,5
2150,100,5
2160,100,5
2170,100,5
2181,100,5
2191,100,5
2201,100,5
2211,100,5
2221,100,5
2231,100,5
2241,100,5
2251,100,5
2262,100,5
2272,100,5
2282,100,5
2292,100,5
2302,100,5
2312,100,5
2322,100,5
2332,100,5
2343,100,5
2353,100,5
2363,100,5
2373,100,5
2383,100,5
2393,100,5
2403,100,5
2413,100,5
2423,100,5
2434,100,5
2444,100,5
2454,100,5
2464,100,5
2474,100,5
2484,100,5
2494,100,5
2504,100,5
2515,100,5
2525,100,5
2535,100,5
2545,100,5
2555,100,5
2565,100,5
2575,100,5
2585,100,5
2596,100,5
2606,100,5
2616,100,5
2626,100,5
2636,100,5
2646,100,5
2656,100,5
2666,100,5
2677,100,5
2687,100,5
2697,100,5
2707,100,5
2717,100,5
2727,100,5
2737,100,5
2747,100,5
2758,100,5
2768,100,5
2782,100,5
2792,100,5
2802,100,5
2812,100,5
2823,100,5
2833,100,5
2843,100,5
2853,100,5
2863,100,5
2873,100,5
2883,100,5
2893,100,5
2903,100,5
2914,100,5
2924,100,5
2934,100,5
2944,100,5
2954,100,5
2964,100,5
2974,100,5
2984,100,5
2995,100,5
3005,100,5
3015,100,5
3025,100,5
3035,100,5
3045,100,5
3055,100,5
3065,100,5
3076,100,5
3086,100,5
3096,100,5
3106,100,5
3116,100,5
3126,100,5
3136,100,5
3146,100,5
3157,100,5
3167,100,5
3177,100,5
3187,100,5
3197,100,5
3207,100,5
3217,100,5
3227,100,5
3238,100,5
3248,100,5
3258,100,5
3268,100,5
3278,100,5
3288,100,5
3298,100,5
3308,100,5
3318,100,5
3329,100,5
3339,100,5
3349,100,5
3359,100,5
3369,100,5
3379,100,5
3389,100,5
3399,100,5
3410,100,5
3420,100,5
3430,100,5
3440,100,5
3450,100,5
3460,100,5
3470,100,5
3480,100,5
3491,100,5
3501,100,5
3511,100,5
3521,100,5
3531,100,5
3541,100,5
3551,100,5
3562,100,5
