time_ms,cpu_usage,active_workers
10,35,1
20,35,1
30,70,2
40,70,2
50,70,2
61,80,3
71,80,3
81,80,3
91,80,3
101,80,3
111,80,3
121,80,3
131,80,3
142,90,4
152,90,4
162,90,4
172,90,4
182,90,4
192,90,4
202,90,4
212,90,4
223,90,4
233,90,4
243,90,4
253,90,4
263,80,3
273,80,3
283,80,3
293,80,3
303,80,3
314,80,3
324,80,3
334,80,3
344,70,2
354,70,2
365,80,3
375,80,3
385,80,3
395,80,3
405,90,4
416,90,4
426,90,4
436,90,4
446,90,4
456,90,4
467,90,4
477,90,4
487,100,5
497,100,5
507,100,5
517,100,5
527,100,5
537,100,5
548,100,5
558,100,5
568,90,4
578,90,4
588,90,4
598,90,4
608,80,3
618,80,3
629,80,3
639,80,3
649,80,3
659,80,3
669,80,3
679,80,3
689,70,2
700,70,2
710,70,2
720,70,2
730,80,3
740,80,3
750,80,3
760,80,3
770,80,3
781,80,3
791,80,3
801,80,3
811,80,3
821,80,3
831,80,3
841,80,3
851,80,3
862,80,3
872,80,3
882,80,3
892,90,4
902,90,4
912,90,4
922,90,4
932,80,3
943,80,3
953,90,4
963,90,4
973,90,4
983,90,4
993,90,4
1004,90,4
1014,100,5
1024,100,5
1035,100,5
1045,100,5
1055,100,5
1065,100,5
1075,100,5
1085,100,5
1095,100,5
1105,100,5
1116,100,5
1126,100,5
1136,100,5
1146,90,4
1156,90,4
1166,100,5
1176,100,5
1186,100,5
1197,100,5
1207,100,5
1217,100,5
1227,100,5
1237,100,5
1247,100,5
1257,100,5
1267,100,5
1278,100,5
1288,90,4
1298,90,4
1308,90,4
1318,90,4
1328,90,4
1338,90,4
1348,90,4
1359,90,4
1369,80,3
1379,80,3
1390,80,3
1400,80,3
1410,70,2
1420,70,2
1430,70,2
1440,70,2
1450,70,2
1461,70,2
1471,70,2
1481,70,2
1491,80,3
1501,80,3
1511,80,3
1521,80,3
1531,80,3
1542,80,3
1552,80,3
1562,80,3
1572,90,4
1582,90,4
1592,90,4
1602,90,4
1613,90,4
1623,90,4
1633,90,4
1643,90,4
1653,90,4
1663,90,4
1673,90,4
1683,90,4
1694,80,3
1704,80,3
1714,90,4
1724,90,4
1734,90,4
1744,90,4
1754,90,4
1765,90,4
1775,80,3
1785,80,3
1795,80,3
1806,80,3
1816,80,3
1826,80,3
1836,90,4
1846,90,4
1856,90,4
1867,90,4
1877,100,5
1887,100,5
1897,100,5
1907,100,5
1917,90,4
1927,90,4
1937,90,4
1948,90,4
1958,90,4
1968,90,4
1980,100,5
1990,100,5
2000,100,5
2010,100,5
2020,100,5
2030,100,5
2040,100,5
2051,100,5
2061,100,5
2072,100,5
2082,100,5
2092,100,5
2102,100,5
2112,100,5
2122,100,5
2132,100,5
2142,100,5
2152,100,5
2163,100,5
2173,100,5
2183,100,5
2193,100,5
2203,100,5
2213,100,5
2223,100,5
2233,100,5
2243,100,5
2254,100,5
2264,100,5
2274,100,5
2284,100,5
2294,100,5
2304,100,5
2314,100,5
2325,100,5
2335,100,5
2345,100,5
2355,100,5
2365,100,5
2377,90,4
2387,90,4
2397,100,5
2408,100,5
2418,100,5
2428,100,5
2438,90,4
2448,90,4
2459,90,4
2469,90,4
2479,80,3
2489,80,3
2499,80,3
2509,80,3
2519,90,4
2529,90,4
2540,90,4
2550,90,4
2560,90,4
2570,90,4
2580,90,4
2590,90,4
2600,80,3
2610,80,3
2621,80,3
2631,80,3
2641,80,3
2651,80,3
2661,90,4
2671,90,4
2681,90,4
2691,90,4
2702,90,4
2712,90,4
2722,80,3
2732,80,3
2742,80,3
2752,80,3
2762,80,3
2772,80,3
2783,80,3
2793,80,3
2803,80,3
2813,80,3
2823,80,3
2833,80,3
2843,90,4
2853,80,3
2864,80,3
2874,80,3
2884,80,3
2894,80,3
2904,80,3
2914,80,3
2924,80,3
2935,80,3
2945,80,3
2955,80,3
2965,80,3
2975,90,4
2985,90,4
2995,100,5
3005,100,5
3016,100,5
3026,100,5
3036,90,4
3046,90,4
3056,90,4
3066,90,4
3076,100,5
3086,100,5
3096,100,5
3107,100,5
3117,100,5
3127,100,5
3137,100,5
3147,100,5
3157,100,5
3167,100,5
3177,100,5
3188,100,5
3198,100,5
3208,100,5
3218,100,5
3228,100,5
3238,100,5
3248,100,5
3258,100,5
3269,100,5
3279,90,4
3289,90,4
3299,90,4
3309,90,4
3319,90,4
3329,90,4
3339,90,4
3350,90,4
3360,90,4
3370,90,4
3380,80,3
3390,80,3
3400,70,2
3410,70,2
3422,80,3
3433,80,3
3443,80,3
3455,80,3
3466,80,3
3476,80,3
3486,80,3
3496,80,3
3506,90,4
3516,90,4
3526,90,4
3536,90,4
3547,90,4
3557,90,4
3567,100,5
