time_ms,cpu_usage,active_workers
10,10,1
20,10,1
30,20,2
40,30,3
51,30,3
61,40,4
71,40,4
81,50,5
91,50,5
101,85,6
111,85,6
121,95,7
132,95,7
142,95,7
152,95,7
162,95,7
172,95,7
182,95,7
193,95,7
203,95,7
213,95,7
223,95,7
233,95,7
243,95,7
253,95,7
263,95,7
274,95,7
284,95,7
294,95,7
304,95,7
314,95,7
324,95,7
334,95,7
345,95,7
355,95,7
365,95,7
375,95,7
385,95,7
395,95,7
405,95,7
415,95,7
426,95,7
436,95,7
446,95,7
456,95,7
466,95,7
476,95,7
486,95,7
497,95,7
507,95,7
517,95,7
527,95,7
538,95,7
548,95,7
558,95,7
568,95,7
578,95,7
588,95,7
598,95,7
608,95,7
619,95,7
629,95,7
639,95,7
650,95,7
660,95,7
671,95,7
681,95,7
691,95,7
702,95,7
712,95,7
722,95,7
732,95,7
742,95,7
752,95,7
762,95,7
772,95,7
783,95,7
793,95,7
803,95,7
813,95,7
823,95,7
833,95,7
843,95,7
853,95,7
864,95,7
874,95,7
884,95,7
894,95,7
904,95,7
914,95,7
925,95,7
935,95,7
945,95,7
955,95,7
965,95,7
975,95,7
985,95,7
996,95,7
1006,95,7
1016,95,7
1026,95,7
1036,95,7
1046,95,7
1056,95,7
1068,95,7
1078,95,7
1089,95,7
1099,95,7
1110,95,7
1120,95,7
1130,95,7
1140,95,7
1151,95,7
1162,95,7
1172,95,7
1182,95,7
1192,95,7
1202,95,7
1212,95,7
1222,95,7
1233,95,7
1243,95,7
1253,95,7
1263,95,7
1273,95,7
1283,95,7
1293,95,7
1303,95,7
1314,95,7
1324,95,7
1334,95,7
1344,95,7
1354,95,7
1365,95,7
1376,95,7
1386,95,7
1396,95,7
1407,95,7
1417,95,7
1427,95,7
1437,95,7
1447,95,7
1457,95,7
1467,95,7
1478,95,7
1488,95,7
1498,95,7
1508,95,7
1518,95,7
1528,95,7
1538,95,7
1549,95,7
1559,95,7
1569,95,7
1585,95,7
1596,95,7
1606,95,7
1616,95,7
1626,95,7
1636,95,7
1646,95,7
1657,95,7
1667,95,7
1677,95,7
1687,95,7
1697,95,7
1707,95,7
1718,95,7
1728,95,7
1738,95,7
1748,95,7
1758,95,7
1768,95,7
1778,95,7
1789,95,7
1799,95,7
1809,95,7
1819,95,7
1829,95,7
1839,95,7
1849,95,7
1860,95,7
1870,95,7
1880,95,7
1890,95,7
1900,95,7
1910,95,7
1920,95,7
1930,95,7
1941,95,7
1951,95,7
1961,95,7
1971,95,7
1981,95,7
1991,95,7
2001,95,7
2012,95,7
2022,95,7
2032,95,7
2042,95,7
2052,95,7
2062,95,7
2072,95,7
2082,95,7
2093,95,7
2103,95,7
2113,95,7
2123,95,7
2133,95,7
2143,95,7
2153,95,7
2164,95,7
2174,95,7
2184,95,7
2194,95,7
2204,95,7
2214,95,7
2224,95,7
2234,95,7
2245,95,7
2255,95,7
2265,95,7
2276,95,7
2287,95,7
2297,95,7
2307,95,7
2317,95,7
2327,95,7
2337,95,7
2347,95,7
2358,95,7
2368,95,7
2378,95,7
2388,95,7
2398,95,7
2408,95,7
2418,95,7
2429,95,7
2439,95,7
2449,95,7
2459,95,7
2469,95,7
2479,95,7
2489,95,7
2500,95,7
2510,95,7
2520,95,7
2530,95,7
2540,95,7
2550,95,7
2560,95,7
2571,95,7
2581,95,7
2591,95,7
2601,95,7
2611,95,7
2621,95,7
2631,95,7
2642,95,7
2652,95,7
2662,95,7
2672,95,7
2682,95,7
2692,95,7
2702,95,7
2713,95,7
2723,95,7
2733,95,7
2743,95,7
2753,95,7
2763,95,7
2773,95,7
2784,95,7
2794,95,7
2804,95,7
2814,95,7
2824,95,7
2834,95,7
2844,95,7
2854,95,7
2865,95,7
2875,95,7
2885,95,7
2895,95,7
2905,95,7
2915,95,7
2925,95,7
2936,95,7
2946,95,7
2956,95,7
2966,95,7
2976,95,7
2986,95,7
2996,95,7
3006,95,7
3017,95,7
3027,95,7
3037,95,7
3047,95,7
3057,95,7
3067,95,7
3077,95,7
3088,95,7
3098,95,7
3108,95,7
3118,95,7
3128,95,7
3138,95,7
3149,95,7
3159,95,7
3169,95,7
3179,95,7
3189,95,7
3199,95,7
3209,95,7
3219,95,7
3230,95,7
3240,95,7
3250,95,7
3260,95,7
3270,95,7
3280,95,7
3290,95,7
3300,95,7
3311,95,7
3321,95,7
3331,95,7
3341,95,7
3351,95,7
3361,95,7
3371,95,7
3381,95,7
3392,95,7
3402,95,7
3412,95,7
3422,95,7
3432,95,7
3442,95,7
3452,95,7
3462,95,7
3473,95,7
3483,95,7
3493,95,7
3503,95,7
3513,95,7
3523,95,7
3533,95,7
3544,95,7
3554,95,7
3564,95,7
3574,95,7
3584,95,7
3594,95,7
3604,95,7
3614,95,7
3625,95,7
3636,95,7
3650,95,7
3661,95,7
3675,95,7
3685,95,7
3696,95,7
3706,95,7
3716,95,7
3726,95,7
3736,95,7
3746,95,7
3756,95,7
3767,95,7
3777,95,7
3787,95,7
3797,95,7
3807,95,7
3817,95,7
3827,95,7
3837,95,7
3847,95,7
3858,95,7
3868,95,7
3878,95,7
3888,95,7
3898,95,7
3908,95,7
3918,95,7
3928,95,7
3939,95,7
3949,95,7
3959,95,7
3969,95,7
3979,95,7
3989,95,7
3999,95,7
4010,95,7
4020,95,7
4030,95,7
4041,95,7
4051,95,7
4061,95,7
4071,95,7
4081,95,7
4091,95,7
4101,95,7
4112,95,7
4122,95,7
4132,95,7
4142,95,7
4152,95,7
4163,95,7
4174,95,7
4184,95,7
4194,95,7
4204,95,7
4214,95,7
4224,95,7
4234,95,7
4244,95,7
4254,95,7
4265,95,7
4275,95,7
4285,95,7
4295,95,7
4305,95,7
4315,95,7
4325,95,7
4335,95,7
4346,95,7
4356,95,7
4366,95,7
4376,95,7
4386,95,7
4396,95,7
4406,95,7
4417,95,7
4427,95,7
4437,95,7
4447,95,7
4457,95,7
4467,95,7
4477,95,7
4487,95,7
4498,95,7
4508,95,7
4518,95,7
4528,95,7
4538,95,7
4548,95,7
4558,95,7
4568,95,7
4579,95,7
4589,95,7
4599,95,7
4609,95,7
4619,95,7
4629,95,7
4639,95,7
4650,95,7
4660,95,7
4670,95,7
4680,95,7
4690,95,7
4700,95,7
4711,95,7
4721,95,7
4731,95,7
4741,95,7
4751,95,7
4761,95,7
4771,95,7
4781,95,7
4792,95,7
4802,95,7
4812,95,7
4822,95,7
4832,95,7
4842,95,7
4852,95,7
4863,95,7
4874,95,7
4884,95,7
4894,95,7
4904,95,7
4914,95,7
4925,95,7
4935,95,7
4945,95,7
4955,95,7
4965,95,7
4975,95,7
4986,95,7
4996,95,7
5006,95,7
5016,95,7
5026,95,7
5036,95,7
5046,95,7
5056,95,7
5067,95,7
5077,95,7
5087,95,7
5097,95,7
5107,95,7
5117,95,7
5127,95,7
5137,95,7
5148,95,7
5158,95,7
5168,95,7
5178,95,7
5188,95,7
5198,95,7
5208,95,7
5218,95,7
5229,95,7
5239,95,7
5249,95,7
5259,95,7
5269,95,7
5279,95,7
5289,95,7
5299,95,7
5310,95,7
5320,95,7
5330,95,7
5340,95,7
5350,95,7
5360,95,7
5370,95,7
5380,95,7
5391,95,7
5401,95,7
